DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
11807	__label2__	5	N	Camera	B00AR95ESC	Sony HDR-PJ790V High Definition Handycam Camcorder with 3.0-Inch LCD (Black) (Discontinued by Manufacturer)	Wow, what features!	This video camera is pretty freakin' amazing, I have to say. My last video camera was from years ago (so long that it used tape!), so this was my first experience with a digital video camera. I don't think I have to say I came away impressed.<br /><br />First of all, I wasn't looking forward to having to buy a bunch of storage for a digital video camera. Storage is expensive, plus keeping track of cards is just annoying. Well, imagine my surprise when I discovered that this video camera has almost 100 GB of internal storage! That's enough for almost 40 hours of recording, which is more than I'd use it before pulling the data off.<br /><br />When you take it out of the box, the way the camera is built is a little disconcerting. This camera has pretty incredible image stabilization, which prevents your video from reflecting the natural shakiness of your arm. But to do that, the internal bits of the camera float around inside. Basically, when you take it out and hear things thumping around in the camera you're probably going to think it's broken. But no, that's how it's supposed to be, and you'll get used to it.<br /><br />My favorite feature of the camera is its built-in projector. No longer do you have to wait to unload video from the memory card before watching! The projector is such a great feature, and it works very well. Image quality is sharp and it's pretty intuitive to use.<br /><br />Overall, I'm impressed with this camera. It is on the expensive side, but you're getting a lot for your money here, as this thing is feature-packed.
1996	__label1__	4	N	Lawn and Garden	B00KOED9AK	Original Kinven Mosquito Repellent Bracelet Natural DEET FREE Insect Repellent Bands, Mosquito Killer up to 360Hrs Protection Outdoor and Indoor, for Adults & Kids, 4 bracelets, Color: Red/Brown	Bracelet for avoid Mosquito....	SadoSports Kinven Mosquito is one of the best Bracelet for avoid Mosquito .I am using it on my right hand.This product is workings good.
15521	__label2__	2	Y	Outdoors	B00DUHLIRY	Cloudnine Sand Anchor	Our friends had a similar item that was made of much thicker plastic and worked much better. I would not recommend this item	Bent on the very first day of use.  Our friends had a similar item that was made of much thicker plastic and worked much better. I would not recommend this item.
7527	__label1__	5	N	Electronics	B0013CXZZ6	Sony ICFCDK50 Under Cabinet Kitchen CD Clock Radio	awesome	Easy ti use and good. Compact and doesn't cause much problem. Its simple the best device out tbere. Gold to see this nicely
10094	__label1__	5	N	Musical Instruments	B001R2I12Y	Squier 030-1600-032 SE Electric Guitar and Amplifier Starter Pack, Brown Sunburst (Discontinued by Manufacturer)	Solid build. Good tuning. Easy to learn with.	For the money, this guitar looks and plays great. Tuning is a little tricky, but it comes with a halfway decent tuner to help you along at first. My suggestion, though would be to pick up a better one at your earliest convenience. The guitar plays really well, and sounds pretty decent through the little amp that's included. If you should hear any buzzing, though, the recommendation is that you take it to your nearest Guitar Center or music store and have a professional look it over. It might need a little bit of adjustment. Other than that, it's worth it if your just starting out.
2499	__label1__	4	Y	Camera	B003F7DWH8	Case Logic DCB-302 Compact  Case for Camera - Black	I like it	I purchased this kind of case with regard to my personal camera, it really is ideal and it has a great high quality. Just a little bit small I guess but the delivery had been punctually which is ideal.
338	__label1__	4	Y	Wireless	B00NHG0374	Coromose Smile LED USB Charger Cable for Samsung Galaxy S3 S4 I9500 (Hot Pink)	Good quality!	Good quality USB cable, such as a color change indication can tell at a glance if the full load management, but also a very reasonable price, I will have a time when they do so.
14346	__label2__	5	Y	Sports	B007SYJ6VA	Armasight Nemesis6x-ID Gen 2+ Night Vision Rifle Scope w/6x Magnification	Worth it	I originally bought this scope from Wayfair on amazon, and after the placing the order, it was brought to my attention that Wayfair was selling the Gen 2 model rather than the Gen 2+. Over email, I let them know that I was not interested in the Gen 2 model and did not wish to continue with the order. In the meantime, the product had already shipped, and the charge to my card was processed. Long story short, Wayfair was definitely WAY FAIR about it! They got the product back before it got to me and promptly refunded the money. This easily could have turned into a hassle with a significant chunk of change, but it didnt. I would definitely consider doing business with Wayfair again.<br />Now, on to the product review. I ended up getting the Armasight Nemesis6x-ID Gen 2+ Night Vision Rifle Scope w/6x Magnification, as advertised, from optics planet. This scope is phenomenal!!! I have a lower end Gen 1 monocular, and compared to that, the difference is literally night and day. I set up with it the other night, with about 25% of the moon lit up, and watched some coyotes about 400 yards away. I could nearly count their teeth!!! The only downside to this scope is that I can see farther than I feel confident shooting with the gun I have it mounted on.<br />Before the moon comes out, when its pitch black, it still provides a decent picture. With the IR spotlight that comes with it, you can see about 100 yards with no other light, as long as youre not getting a reflection from nearby objects.<br />All in all, the Armasight Nemesis6x-ID Gen 2+ Night Vision Rifle Scope w/6x Magnification is worth it.
5605	__label1__	5	Y	PC	B00HLXPZPE	iPad Mini Case, iPad mini 2/3 Case - TheONE Stand Case with Auto Sleep/Wake Function for Apple iPad Mini, iPad Mini 2 & 3- BLACK	greate case for Ipad mini 2	This is just what I wanted and it is more protective than anticipated.  A really good deal for the price! A + soft and nice to touch
8892	__label1__	5	N	Camera	B00JXPO5N6	Aluratek ADMPF310F 10-Inch Digital Photo Frame with 4GB Built-In Memory (Black)	Not just a frame...	I own a sandwich shop and tried this digital frame to display my daily specials and loved the clarity of the screen so much that I chose to keep it on display. I have customers who always compliment how up to date I am with technology and all it took was this great frame! It was easy to load my files and really like that I could include the background music to add that extra touch! I definitely recommend this digital frame to all business owners!
7353	__label1__	5	N	Camera	B00TGZYJ8O	Wireless IP Camera SUSPEND	Wonderful Camera	This camera with great picture and video, all the time, it will helps us know when someone is home.<br /><br />The camera works exactly as expected, it has great video quality and it has lot of features: you can view the camera through a web page and even operate it, you can create different accounts with access levels (maybe you want someone to see it but not move the camera), you can set at what time it should start recording with infra-red (or let it figure it out by itself), and you can add many different cameras and monitor all of them from the same interface!<br /><br />I have an android phone, iPad and iPhone in my household. So far all of them worked well. Usually IOS version gets all the developer attention. Android app works really good I was able to do presets, turn on/off motion sensing and configure various things. We are REALLY satisfied.
18041	__label2__	5	Y	Health & Personal Care	B001IHXFQK	Scalp Massager by Body Back Company	Head-gasm!!	Okay, I bought this for a friend thinking it would be a novelty gift.  I tried it, loved it, and bought another one for me!  I probably look a little funny using it, but it feels fantastic.  I have my head massager on top of my nightstand.  A couple of swipes of this on my head and I'm ready for bed.  This is not to be used in front of others, as your friends will see your groan and roll your eyes as you use this.  Yes, it feels that good.
15198	__label2__	3	Y	Tools	B0009HM5OI	DEWALT DW292 7.5-Amp 1/2-Inch Impact Wrench with Detent Pin Anvil	Disappointed	I was disappointed with this drill couldn't even loosen lug bolts, this has 375ft lbs I believe,  you at 500 to 700ft lbs to crack any bolt.
17190	__label2__	5	Y	Pet Products	B00063435O	Natural Balance Original Ultra Whole Body Health Chicken, Salmon & Duck Formula Wet Cat Food, 6-Ounce Can (Pack of 24)	my cats LOVE this...for less	I am so happy to find this cat food on Amazon. I re-checked one more time at the store that stares with P and has the word Smart in it JUST to be sure The prices they sell this food for is still more...when they have it in stock. YUP! Still about $37.00 for a case and you have to buy 2 to get free shipping! NOT a deal in my book. even if you get a $5.00 off coupon
19673	__label2__	5	Y	Wireless	B00B1M1B3G	Wireless Bluetooth Speaker- BLKBOX POP360 Hands Free Bluetooth Speaker - for iPhones, iPads, Androids, Samsung and all Phones, Tablets, Computers (Bumpin' Black)	Cool Little Speaker	Really like this little speaker.  Great sound for such a small device.  Much better than listening to music through the speakers on my phone!
13403	__label2__	5	Y	Sports	B000FML7SW	BandIT Therapeutic Forearm Band	Outstanding cure for tennis elbow	Worked so well!  I don't play tennis, but I hyperextended my arm in my sleep and couldn't figure out how to get rid of the pain in my elbow.  This was perfect!  Easy to use, stays in place, and a great fit.  It did get hot and a bit sweaty while I was out running...but then again, I was hot and sweaty everywhere.
11027	__label2__	5	N	Grocery	B008J46DNC	Banana Bread - Medium FREE SHIPPING on orders $25 or more, mix and match with our other delicious flavors	I'm warning you	Do NOT put a loaf of banana bread in front of me or it WILL be gone!  I'm *that* much of a banana bread lover!  This White Post Farm banana bread is the stuff I've always admired the most, but I'm particularly fond of the homemade stuff too.  Seriously, an Amish store downtown was selling several loaves of banana bread in a giant bin.  I noticed them the moment I walked inside.  I nearly cried with excitement... and cried more when I came back a few weeks later and they were all gone. Banana bread is my best and only friend.  It just goes down my throat so well.
18139	__label2__	4	Y	Kitchen	B000N2TYOS	Primula Classic Glass 8-Cup Coffee Press with Black Handle	Works great. Glass is thick enough. Boiling water is not a problem.	I was a bit worried since a lot of reviews on coffee presses talked about thin glass/breaking with hot water...Im not sure what could make it better, because the grinds do come through as well as the really fine grounds. Not a whole lot, but I just pour it through a coffee filter and all is good. Im not sure if all coffee presses let though a few grounds. The only down side for me is there wasn't any measurement on the glass to see how much water I was pouring in. I just broke out my black sharpie and fixed that. Good enough product.
3069	__label1__	1	Y	Office Products	B00I0A41V6	"1"" Inch Round Metallic Blue Color Code Dot Stickers - 1,000 Circle Labels Per Roll"	Not as shown	The color is not exact to the picture shown which is extremely disappointing. How can you sell something when it is way off from the description. Completely throws off what i was going to use them for.
17571	__label2__	5	Y	Watches	B002SSUQFG	Seiko Men's SNK809 Seiko 5 Automatic Stainless Steel Watch with Black Canvas Strap	Nice Watch	What needs to be said about a Seiko 5? The watch is automatic, would survive an EMP, and is very stylish. I got a couple of them at this great price!
4269	__label1__	5	Y	Sports	B00UIBB5TG	Survival Knife, Rescue Survival Knife: Best 3-in-1 Tactical Pocket Folding Knife with LED Light & Magnesium Fire Starter;Camping/Hunting/Hiking/Outdoor; Quality Stainless Steel	LED Light is great	Ordered this knife a few days ago and it came earlier than expected. The LED light is what sets it apart from other knives in the same price bracket. It was sharper than I expected based on the previous reviews - maybe I just got a good one
8912	__label1__	5	Y	Automotive	B00A3SU7NO	Niceeshop(tm) Mini 45x 2-led Pocket Microscope Magnifier Loupe with LED Light Adjustable Illuminator + Niceeshop Cable Tie	I really mean it.	Works very well for a small device. It just arrived in great shape and the light is really bright. Thanks that it's in good condition. Affordable..
10409	__label1__	5	N	Watches	B0049HSJ76	Casio G-Shock GD-100-1B Watch	looks great	I just wanted a tough digital watch that would tell me what time it was. This was the perfect one for me. Looks great, low maintenance, rough and tumble exterior, what's not to love?  Also, I actually think that since G-Shocks last forever, they may have just redefined how heirlooms are supposed to look like.
18795	__label2__	3	Y	Grocery	B0055T5VB4	Miracle Noodle Shirataki Angel Hair Pasta and Shirataki Fettuccini, 7-Ounce Packages (Pack of 3 Each) - 6 Total	Noodles	I expected something else.  I have to cook them so long in order for me to eat them.  They're rubbery.
10665	__label2__	5	N	Video DVD	B00D2D1WVI	Jesse Stone: The Complete Set	Soulful Detective Series	If you like a detective series with a soul, this Jesse Stone series offers it up in the form of haunting and original music, inspired scenery and sets (love Stone's waterside home), quirky and realistic plots, insightful casting, gorgeous cinematography, and a sensitive but tough detective with Tom Selleck playing Jesse Stone.<br /><br />Jesse has a few of his own mysteries to solve, along with the ones he confronts in his work.  Is he ever going to not answer the phone when his ex-wife calls and just forget about her?  Will he be able to stop drinking?  Can he keep his community happy in the small northeastern town he polices and hang onto his job?  Will he ever find a woman who is sympatico?<br /><br />In between battling his own demons, therapy sessions with his shrink (William Devane), and cryptic conversations with just about everybody including his dog, Jesse manages to solve quite a few crimes with his non-police manual methods.<br /><br />In analyzing why this series is compelling, one reason is that it just feels real.  Selleck inhabits the role of Jesse Stone with ease.  You feel like he's playing some aspect of himself.  The secondary characters are strong.  You don't feel like you are watching a show.  You feel like it's real life.  And you care about the characters.  Even the crooks have a sort of likability in some instances.<br /><br />This is the kind of series you could watch every year.  Although another show hasn't been purchased by CBS, Selleck said in an interview that he thinks someone will want to produce another episode.  We hope Selleck is right. In the meantime, you can just re-watch the episodes in this complete set until they do.
4594	__label1__	5	Y	Kitchen	B00PZ479PU	"NanoRazor Professional Gourmet 3-inch Ceramic Chef’s paring Knife with free peeler - Various size (8"", 6"", 3"") and color knives available to make your own set and save big – The most durable ceramic blade on the market by Savvy Living [ Black ]"	Looks sleek and stylish with high end performance	I am so in love with this knife and peeler set. First of all, they look so stylish. I love the black vibe from it all. The blade cover for the knife is awesome so I can store it away in my drawer and not cut myself trying to get it. The are both lightweight and very easy to use. I find the grip comfortable on both handles. I love that I don't have to sharpen this knife as it keeps its razor sharp edge and will not wear out. I find this ceramic knife to be more sanitary than my others. All it needs is a quick rinse in between cutting different food items. I also know that this won't rust out. I love the price tag on this knife because they usually go for a lot more. I'm very happy with this knife and plan to expand my collection of ceramic knives for cooking.
6345	__label1__	5	Y	Lawn and Garden	B00WBZNI1K	3 in 1, Oven Liner, Premium BBQ Grill Mat and Baking Mat – Set of 2 – Non-stick – Extra Thick - Bonus Beer Opener – Bonus Recipe eBook	I love these	these grill mats are great for barbecuing they are convenience and I love how it makes your life easier instead of scrubbing down a grill which takes forever and its alot of work. you can easily place these and remove them and wash them and they look brand new again I also use them to bake you can pretty much make anything on them they're very sturdy and durable and they won't sink down ever since I've got my grill mat I can't live without them..I got to try this for free in return for this review. So my review is 100% my honest opinion
2201	__label1__	4	N	Toys	B002NPBT50	Perplexus Original Maze Game by PlaSmart, Inc. (Discontinued by manufacturer)	solid 10 min of quiet time	This maze was a part of the present my daughter got for her 9th birthday. She was really trying and was really persistent for 10 minutes straight. But then somehow it starts getting on he nerves and she is ready to through it into the wall. It's funny to watch her being so frustrated with... herself. But again, I think it makes her more patient with every try. She doesn't quit. Love that there are toys that develop those good qualities in kids.
14269	__label2__	5	Y	Video DVD	B000FL7C82	Carnivale: Season 2	Great series!!!!	The dvds arrived in the excellent condition that they were promised.  Price was good, also.  We watched these on netflix and were sorry that only 2 seasons were made by HBO.  A super change from alot of the &#34;stuff&#34; that is described as entertainment nowadays.  Wish there were more episodes.....
15644	__label2__	4	Y	Baby	B00IJEFH52	Tommee Tippee Closer to Nature Sensitive Tummy Starter Pack, Clear, 3 Pack	Go for it.	I ordered it after reading several review. It's a good product and nicely shaped for a more natural feeling for the baby. Strangely, the nipple sometimes gets sucked into the bottle funny know why. Please share some info if someone has also experienced the same.
1986	__label1__	3	N	Toys	B000BNB0LO	Chinese Jumprope (Colors May Vary)	Ripped	Got these for my daughters who are obsessed with the bracelet making trend, it was an okay price, quite a few were broken or snapped. It's not a purchase I would repeat.
11417	__label2__	5	Y	Automotive	B000BXKYYI	Hopkins 10705 FloTool Giant QuickFill Funnel	Who doesn't need a Giant funnel?	I can't even imagine who wouldn't need a giant funnel.  You can use it in the garage you can use it in the home.  I use it to transfer large batches of food into storage containers without spilling all over the place.<br /><br />It's pretty large but guess what?  It fits in my dishwasher and it seems to be dishwasher safe.  It didn't melt anyway.<br /><br />Large enough to wear as a hat if you wanted to.  Just sayin'.
7286	__label1__	5	N	Luggage	B00OPB0DCK	Handmadecart Leather Messenger Bags for Men and Women Laptop Shoulder Satchel Briefcase (15 Inches)	Great leather bag!	Love this bag, it looks great! I use it every day when I go to work, and even my colleagues said that it looks astonishing! The retro design and the natural way it looks it simply great, especially for this fair and reasonable price...five stars!
14616	__label2__	5	Y	Lawn and Garden	B00J3X7VBQ	MILLIARD Automatic Pool Vacuum	Does a great job but it gets stuck on the steps once ...	Does a great job but it gets stuck on the steps once in a while. I think it's because of the suction pressure.
11936	__label2__	5	N	Luggage	B00LPC4B8E	Double Dutch Club Water Color Stripe Warm 20 Inch Hardside, Pink, One Size	Flashy and functional!	Wow this luggage is flashy! The wife likes it very much, the colors are bright and cutesy. The wheels roll well and the handle pulls up and down smoothly. This luggage also includes a protective bag to help prevent scratches on the shell during travel which is an excellent plus to keep this luggage looking pretty.<br /><br />If you want something that stands out in the airport, this is the bag to use!!!
5748	__label1__	5	N	Kitchen	B0009U5OSO	Marcato Atlas Wellness 150 Pasta Maker, Stainless Steel	Easier than I thought it would be	When I decided I wanted to start making my own pasta, this was the pastamaker recommended to me. The process takes a long time, but it was much easier than I expected, and the final result is worth it. I don't think I'll ever go back to buying it in a box!
16154	__label2__	4	Y	Lawn and Garden	B00URH5F06	OGIMA 100FT Expanding Hose Magic Flexible Expandable Garden Water Hose With 7 Functions Spray Nozzle and Shut-off Valve-Green	Works great, light weight and straighten in seconds to full ...	Works great , light weight and straighten in seconds to full length. Big bonus that the nozzle was added ,great buy..
16851	__label2__	5	Y	PC	B001UI4RTG	NETGEAR RangeMax Wireless Router (WNR1000-100NAS (G54/N150))	Easy set up easy use	I got it, took it out of the box, fallowed the instruction, which were clear and easy to fallow, and the router was set up in about 15 minutes including software download time. The rang on the router is awesome and so is the download speed. Very pleased with this purchase!
13931	__label2__	5	Y	PC	B00DY3J966	ASUS New Nexus 7 FHD Official Travel Cover - Dark Grey	After having the wrong one for months this is great!	Fits like a glove!  Everything is easily accessible.  After having the wrong one for months this is great this is for the nexus 7 2nd gen.
8824	__label1__	4	N	Baby	B002WB2G9I	The First Years Jet Stroller, City Chic (Discontinued by Manufacturer)	Great stroller for the price	I have bought strollers before that were around the same price and were nothing but a let down.  The handles or wheels end up giving issues sooner than expected, however, this stroller is definitely more quality.  I'm going on 1 year and am purchasing this stroller for a friend and I stand by my purchase.
16945	__label2__	4	Y	Lawn and Garden	B000EEU49E	Powerwasher 80011 Universal Pressure Washer 1/4-Inch by 25-Foot Extension Hose	pretty good	better than original. was hoping it would be a little more rubber as stated, but its great for the money
15106	__label2__	1	Y	Furniture	B0015TX0MU	Work Smart Resin 5-Piece Folding Chair and Table Set, 4 Chairs and 3-Feet Square Table	which will become very annoying when playing cards	I wanted this to use to play cards, but it has an open seam in the middle of the table, which will become very annoying when playing cards.  It is very cheaply made, and both the table and chairs wobble.  I do not recommend this table set.
8104	__label1__	5	N	Video Games	B00UMF35MS	Ortz® PS4 Wireless Mini Bluetooth Keyboard - Best KeyPad Adapter for DualShock Controller for PlayStation 4 [Black]	Love it	I use it a lot for playing chatting both, it gives excellent service every time, no hassles or flaws.
18266	__label2__	5	Y	Books	1441316310	Studio Series Artist's Tiles: White (75 pack)	These are great for projects and the fact that they come with ...	These are great for projects and the fact that they come with corners all cut, they provide a nice finished look.
7078	__label1__	5	N	Home Improvement	B00FLXU6HS	Red Water Tracing & Leak Detection Flourescent Dye - 1 Gallon	Good Price and Better quality	I used the red dye from this company to locate a leak in my septic tank, we were able to see the water in the tank had turned bright red so we were satisfied with the end result. Good price as well
18426	__label2__	5	Y	Tools	B0033YLEGO	Howard Leight MAX-1 Foam Ear Plugs Uncorded, 20 Piece	Best earplugs I've used	It's hard to review ear plugs, because... well, they do one thing, but these are quite good. They are the super soft squishy type, which is good because they don't hurt my ears as much after four or five hours in. I work on the flight deck of an aircraft carrier, so it's pretty bloody loud where I work, and these combined with the mickey mouses (well, the new mickey mouses, which I suppose we can't call mickey mouses any more) make the flight deck a very ear-friendly place. They will not stop you from getting blown down the flight deck a few hundred feet by exhaust, however, so there's that.<br /><br />The NRR of 33 is about the highest you can get with non-fitted ear plugs. The squishiness of them means installing them can be a bit tricky, as you have to use a gradual pinch-roll method to squeeze them into shape without creating creases that make an imperfect seal. Also you need to pull up your ear with your other hand if you want to get them in deep enough to make a good seal. Don't do that, and you get maybe 20dB max of protection.
19391	__label2__	5	Y	Camera	B005MTME3U	Canon PowerShot S100 12.1 MP Digital Camera with 5x Wide-Angle Optical Image Stabilized Zoom (Black) (OLD MODEL)	Canon OS S100	It is a reat camera but I wish that it came with a decent memory card and case, ot even an oprtion to buy these.
5033	__label1__	5	Y	Kitchen	B00VRTHQBE	Orblue Dough Docker, Helps Cook Thin Crust Pizza Uniformly & Prevents Dough From Blistering (1-pack)	A great grip and very easy to handle docker	A great grip and very easy to handle docker. It produces nice results and is easy to clean.  Great if you are making pizza for your dough.  It is well made and very sturdy hard plastic! Rolls over the Dough like a dream! My dough did not bubble at all! We made homemade pizza to try it out and it was a success! Easy to handle and does the job perfectly! Wasn't hard to clean just rinsed in hot water but make sure you rinse right after use so none of the dough hardens on the spikes and it will be simple clean up!
19318	__label2__	5	Y	Furniture	B001EQN52Y	9pcs Contemporary Walnut Counter Height Dining Table & 8 Stools Set	Love the set!	I received my dining set about a month ago, but just got it put together & set up. I am extremely happy with the set so far. The instructions were clear & easy to follow, assembly was very simple & went smoothly, I had not only all the hardware I needed, but also a few extra pieces when I was finished. Love the color, although it was about a shade lighter than I expected, probably due to differences in monitor color. The set feels very sturdy & looks gorgeous in our dining room. The only negative is that I was given a 3 day window for delivery & only got about 20 minutes notice before delivery, so was not able to be there. Fortunately my neighbor was home & able to sign for it. The driver was nice enough to place the pallet on my concrete patio, so that was helpful. Set was very well packaged, boxes were well packed & the whole thing was palleted. It is VERY heavy & awkward, so I would recommend paying a bit more & having the delivery person bring it in the house for you.
12693	__label2__	3	N	Automotive	B003UT6LCO	Fumoto F-103 Engine Oil Drain Valve	installed on Highlander 2010	"first-time oil changer here, so decided to make job easier in the future and installed F-103S (one with small nipple)<br /><br />Observations:<br /><br />1) Don't get F-103S, get regular F-103 - more then enough.<br /><br />2) it sticks out by ~1/4"" - 3/8"" from protected bottom level. Safe in day-to-day driving, but I would think twice about jumping sidewalks or driving over rocks.<br /><br />3) this is quality piece, NOT some junk.<br /><br />4) don't worry about valve opening by itself due to driving - highly unlikely.<br /><br />5)it is made from soft bronze, so go light on torque<br /><br />6) last, but main reason for taking down 2 stars: final position, after tightening to specs, is NO GOOD: it leaves ball part of the piece in lowest point, so it sticks out, and I could not find a way to move it to the highest point without either over tightening or under tightening. Washers of different thickness would probably let you adjust final position, but i didn't have that option.<br /><br />Overall, come prepared, buy couple of washers and you will be fine."
13117	__label2__	5	Y	Baby	B009SP94LY	Bumbo Floor Seat Cover, Owl (Discontinued by Manufacturer)	Awesome	Just what I needed! I purchased a used Bumbo seat and wanted a cover for it, this fit the bill perfectly. The colors are nice, and it's very cute. But mostly, it will provide the barrier I wanted.
16923	__label2__	5	Y	Camera	B00HD1L8NW	Bike Bicycle Motorcycle Handlebar Mount Holder for Mobius Action Sports Camera	Clamps to bar and secures camera.	If your looking for a product to double in price and cast you three wishes then this thing sucks! If you need something to hold a camera and clamp to a bar then look no further.
